,D614G_IC50,BA1_IC50,BA2_IC50,BA3_IC50,SARS_IC50,BA1_1_IC50,BA2_12_1_IC50,BA2_75_IC50,BA5_IC50,BF7_IC50,BA2_13_IC50,BQ1_1_IC50,XBB_IC50,XBB1_5_IC50,XBB1_5_10_IC50,BA5_ELISA_compete_level,paper_reactivity,source,group
GC0269,0.0027,0.00183,0.00257,NA,10,NA,NA,0.0013,0.00322,NA,NA,0.0854,10,10,10,0.454416197,cross,BA.5 convalescents,B
GC0270,5.34,6.18,4.08,NA,NA,NA,NA,3.24,5.41,NA,NA,7.12,5,7.41,NA,0,cross,BA.5 convalescents,E2.2
GC0271,0.00323,0.00443,0.00687,NA,10,NA,NA,0.07007,0.00957,NA,NA,1.09,2.78,1.97,NA,0,cross,BA.5 convalescents,A1
GC0272,0.614,0.275,0.969,NA,10,NA,NA,0.631,0.637,NA,NA,10,4.17,8.18,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0274,10,10,0.492,NA,10,NA,NA,10,0.216,NA,NA,10,10,10,10,0,specific,BA.5 convalescents,D2
GC0277,10,2.24,1.85,NA,10,NA,NA,2.18,0.158,NA,NA,10,10,10,10,0,specific,BA.5 convalescents,D4
GC0279,4.42,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0281,0.000832,10,0.017,NA,10,NA,NA,10,0.0151,NA,NA,10,10,10,10,0.491779433,cross,BA.5 convalescents,D2
GC0282,1.7,3.16,2.35,NA,NA,NA,NA,4.69,3.04,NA,NA,4.22,4.64,6.92,NA,0.450093691,cross,BA.5 convalescents,F1
GC0283,2.34,0.848,1.45,NA,NA,NA,NA,0.932,1.12,NA,NA,1.66,2.6,1.33,NA,0.538216668,cross,BA.5 convalescents,E2.2
GC0285,0.00315,0.661,1.11,NA,10,NA,NA,0.00927,1.19,NA,NA,3.09,10,10,10,0.460266773,cross,BA.5 convalescents,A1
GC0286,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.33355108,cross,BA.5 convalescents,E3
GC0288,0.0974,0.106,0.096,NA,10,NA,NA,0.166,0.446,NA,NA,10,6.66,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0290,4.41,1.77,3.69,NA,NA,NA,NA,3.12,3.6,NA,NA,7.78,3.98,3.08,NA,0.020592189,cross,BA.5 convalescents,E2.2
GC0291,10,2.31,5.78,NA,NA,NA,NA,6.18,3.19,NA,NA,10,2.82,6.09,NA,0.115604425,cross,BA.5 convalescents,E2.2
GC0293,0.00127,10,0.122,NA,10,NA,NA,10,0.0624,NA,NA,10,10,10,10,0.423650235,cross,BA.5 convalescents,D2
GC0295,1.31,0.426,1.37,NA,NA,NA,NA,1.34,0.735,NA,NA,1.2,1.02,0.415,NA,0.496062691,cross,BA.5 convalescents,E2.2
GC0296,0.00141,10,0.0437,NA,10,NA,NA,10,0.0265,NA,NA,10,10,10,10,0.576134785,cross,BA.5 convalescents,D2
GC0297,0.00115,0.00145,0.00081,NA,10,NA,NA,0.001654,0.000927,NA,NA,10,0.0529,0.623,NA,0.614685421,cross,BA.5 convalescents,E1/E2.1
GC0298,10,10,10,NA,10,NA,NA,10,0.0864,NA,NA,10,10,10,10,0.16378539,specific,BA.5 convalescents,A1
GC0299,10,3.59,4.11,NA,NA,NA,NA,5.27,3.07,NA,NA,10,2.47,1.1,NA,0.241388275,cross,BA.5 convalescents,E2.2
GC0300,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.695129386,specific,BA.5 convalescents,F3
GC0301,0.0715,0.249,10,NA,NA,NA,NA,4.48,5.07,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0302,1.54,0.586,0.557,NA,10,NA,NA,1.14,1.18,NA,NA,2.29,2.01,2.56,NA,0.120745618,cross,BA.5 convalescents,E2.2
GC0303,0.00132,0.0632,0.00141,NA,10,NA,NA,0.00548,0.00594,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0304,0.00272,0.00906,0.00634,NA,NA,NA,NA,0.0163,0.0042,NA,NA,10,10,NA,NA,0.329372414,cross,BA.5 convalescents,D2
GC0305,10,2.34,1.29,NA,10,NA,NA,1.11,0.629,NA,NA,1.38,10,10,10,0.570993451,specific,BA.5 convalescents,F1
GC0306,10,2.28,3.32,NA,NA,NA,NA,2.63,7.47,NA,NA,5.06,4.2,4.05,NA,0.238505639,cross,BA.5 convalescents,E2.2
GC0307,0.00358,0.36,0.552,NA,10,NA,NA,0.0528,2.21,NA,NA,10,10,10,10,0.62464143,cross,BA.5 convalescents,C/D1
GC0308,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.322761681,specific,BA.5 convalescents,A2
GC0309,0.00818,0.0101,0.00529,NA,10,NA,NA,0.007518,0.00349,NA,NA,0.0371,0.0209,0.0128,0.03832,0.822427603,cross,BA.5 convalescents,A1
GC0310,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0311,0.00292,5.01,0.0141,NA,10,NA,NA,5.3,0.00804,NA,NA,10,10,10,10,0.717153354,cross,BA.5 convalescents,E1/E2.1
GC0312,3.58,4.46,6.9,NA,NA,NA,NA,7.47,9.31,NA,NA,8.36,5.74,10,10,0,cross,BA.5 convalescents,E3
GC0313,0.0959,0.227,0.227,NA,10,NA,NA,0.409,0.181,NA,NA,10,10,10,10,0.217537195,cross,BA.5 convalescents,E1/E2.1
GC0314,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.066379254,cross,BA.5 convalescents,E3
GC0315,0.0211,0.0704,0.0844,NA,10,NA,NA,0.0617,0.433,NA,NA,10,10,10,10,0.046968427,cross,BA.5 convalescents,E1/E2.1
GC0316,0.695,4.68,3.34,NA,10,NA,NA,2.37,7.09,NA,NA,10,8.97,4.41,NA,0.432078929,cross,BA.5 convalescents,F1
GC0318,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.160738593,specific,BA.5 convalescents,F3
GC0319,8.68,3.39,3.82,NA,NA,NA,NA,3.23,3.08,NA,NA,2.44,4.98,3.72,NA,0,cross,BA.5 convalescents,F1
GC0320,1.77,2.38,1.88,NA,NA,NA,NA,2.86,4.31,NA,NA,3.56,3.94,3.6,NA,0,cross,BA.5 convalescents,E3
GC0322,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0324,0.032,0.105,0.0851,NA,10,NA,NA,0.0924,0.159,NA,NA,10,0.286,0.116,NA,0.189403361,cross,BA.5 convalescents,E1/E2.1
GC0325,10,10,0.878,NA,10,NA,NA,0.00527,0.000751,NA,NA,0.00247,0.00594,0.00616,0.06156,0.793700089,specific,BA.5 convalescents,A2
GC0326,0.0249,0.243,0.493,NA,10,NA,NA,0.107,0.0331,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0329,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.376140718,cross,BA.5 convalescents,F1
GC0330,10,2.4,2.25,10,10,10,10,1.93,10,NA,10,10,2.51,1.19,NA,0.371114437,cross,BA.5 convalescents,E2.2
GC0331,0.166,0.0399,0.0452,NA,NA,NA,NA,0.03607,0.432,NA,NA,10,0.25,0.393,NA,0,cross,BA.5 convalescents,E2.2
GC0332,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.037468088,specific,BA.5 convalescents,F1
GC0333,3.45,3.4,3.42,NA,NA,NA,NA,4.97,4.78,NA,NA,10,3.72,5.22,NA,0.301327582,cross,BA.5 convalescents,E2.2
GC0334,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0335,0.00588,0.0401,0.0279,NA,10,NA,NA,0.0317,0.0308,NA,NA,10,10,10,10,0.093315295,cross,BA.5 convalescents,E1/E2.1
GC0336,1.31,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.201368876,cross,BA.5 convalescents,E2.2
GC0338,0.0278,0.0217,0.0116,NA,10,NA,NA,0.005103,0.00331,NA,NA,0.673,0.742,0.404,NA,0,cross,BA.5 convalescents,E1/E2.1
GC0340,0.673,0.502,0.717,NA,10,NA,NA,0.968,1.66,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0341,0.00629,0.0164,0.0233,NA,10,NA,NA,0.0149,0.0127,NA,NA,10,10,10,10,0.318999404,cross,BA.5 convalescents,E1/E2.1
GC0342,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0343,0.161,0.108,0.337,NA,10,NA,NA,0.362,0.455,NA,NA,10,10,10,10,0.047425874,cross,BA.5 convalescents,E1/E2.1
GC0345,0.0018,0.147,0.162,NA,10,NA,NA,0.00629,3.54,NA,NA,10,10,10,10,0.303457989,cross,BA.5 convalescents,E1/E2.1
GC0346,0.00716,1.31,1.27,NA,10,NA,NA,2.1669,0.19,NA,NA,0.473,10,10,10,0.670027248,cross,BA.5 convalescents,A1
GC0347,10,10,10,NA,10,NA,NA,10,0.084,NA,NA,10,10,10,10,0.592662749,specific,BA.5 convalescents,A1
GC0348,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.056246413,cross,BA.5 convalescents,E3
GC0350,0.000947,10,10,NA,10,NA,NA,0.01095,10,NA,NA,10,10,10,10,0.567610673,cross,BA.5 convalescents,C/D1
GC0351,0.000963,10,0.00198,NA,10,NA,NA,1.41,0.000883,NA,NA,10,10,10,10,0.6558947,cross,BA.5 convalescents,D2
GC0352,10,2.01,3.43,NA,10,NA,NA,6.4448,3.99,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0353,0.00447,0.57,0.508,NA,10,NA,NA,1.6368,0.565,NA,NA,10,10,10,10,0.185262571,cross,BA.5 convalescents,A1
GC0354,0.00687,1.41,0.0239,NA,10,NA,NA,0.432,0.00708,NA,NA,10,10,10,10,0.717757861,cross,BA.5 convalescents,A2
GC0355,0.00149,10,10,NA,10,NA,NA,0.935,2.6,NA,NA,10,10,10,10,0.097198026,cross,BA.5 convalescents,C/D1
GC0356,0.000868,0.0621,0.00378,NA,10,NA,NA,0.00237,0.646,NA,NA,10,10,10,10,0.340035273,cross,BA.5 convalescents,C/D1
GC0357,0.00117,3.08,0.0895,NA,10,NA,NA,0.0139,10,NA,NA,10,10,10,10,0.039633583,cross,BA.5 convalescents,C/D1
GC0358,4.4,0.783,0.433,NA,10,NA,NA,0.695,0.544,NA,NA,1.3,0.896,2.2,NA,0,cross,BA.5 convalescents,E2.2
GC0359,0.000916,10,10,NA,10,NA,NA,0.343,10,NA,NA,10,10,10,10,0.205938902,cross,BA.5 convalescents,A1
GC0360,0.0152,0.0101,0.0112,NA,NA,NA,NA,0.02259,0.0413,NA,NA,10,0.0739,0.132,NA,0.706396849,cross,BA.5 convalescents,E1/E2.1
GC0361,0.0667,2.15,3.16,NA,NA,NA,NA,1.47,2.8,NA,NA,2.26,1.82,4.26,NA,0.270588235,cross,BA.5 convalescents,F1
GC0362,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.496091831,cross,BA.5 convalescents,E3
GC0363,10,3.3,4.28,NA,NA,NA,NA,6.76,6.6,NA,NA,5.72,5.93,8.61,NA,0,cross,BA.5 convalescents,E2.2
GC0366,0.0111,0.0189,0.0191,NA,10,NA,NA,0.0577,0.0077,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0370,10,10,0.0628,NA,10,NA,NA,0.00697,0.00106,NA,NA,0.00393,0.00842,0.00613,0.01796,0.830534271,specific,BA.5 convalescents,A2
GC0371,0.446,0.14,0.128,NA,10,NA,NA,0.1505,0.564,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0372,0.00478,0.00291,0.00304,NA,10,NA,NA,0.03669,0.00541,NA,NA,0.459,1.06,1.08,NA,0.728491021,cross,BA.5 convalescents,A1
GC0373,4.02,0.846,0.89,NA,NA,NA,NA,0.597,1.68,NA,NA,2.05,1.91,1.74,NA,0.241438064,cross,BA.5 convalescents,E2.2
GC0374,0.0236,0.102,0.0746,NA,10,NA,NA,0.054,0.069,NA,NA,10,3.21,1.29,NA,0.146528157,cross,BA.5 convalescents,E1/E2.1
GC0375,0.00129,0.0028,0.00221,NA,10,NA,NA,0.00276,0.0963,NA,NA,0.452,10,10,10,0.412826678,cross,BA.5 convalescents,B
GC0376,3.17,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0377,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.052012945,cross,BA.5 convalescents,F1
GC0378,0.119,0.125,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0379,0.391,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0380,0.507,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.681170762,cross,BA.5 convalescents,F1
GC0381,10,10,10,NA,10,NA,NA,1.26,0.184,NA,NA,2.88,4.05,6.66,NA,0.496587906,specific,BA.5 convalescents,A2
GC0383,10,10,10,NA,10,NA,NA,0.381,0.282,NA,NA,0.59,3.09,1.69,NA,0.241750082,specific,BA.5 convalescents,F3
GC0385,0.00357,0.00626,0.00429,NA,10,NA,NA,0.00645,9.71,NA,NA,10,10,10,10,0.301559356,cross,BA.5 convalescents,B
GC0386,0.00973,0.0438,0.00655,NA,10,NA,NA,0.423,0.00715,NA,NA,4.5,10,10,10,0.376546404,cross,BA.5 convalescents,A1
GC0388,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.031996062,cross,BA.5 convalescents,E3
GC0389,10,1.49,3.16,NA,NA,NA,NA,3.28,3.76,NA,NA,1.33,1.21,0.667,NA,0.160221551,cross,BA.5 convalescents,E2.2
GC0390,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,F1
GC0393,10,3.74,1.65,NA,NA,NA,NA,1.67,3.21,NA,NA,3.74,1.77,2.02,NA,0.24540099,cross,BA.5 convalescents,E2.2
GC0394,0.0061,0.00293,0.00462,NA,10,NA,NA,0.00957,0.0037,NA,NA,0.0195,0.0561,0.0347,0.1214,0.832584774,cross,BA.5 convalescents,A1
GC0395,10,10,10,NA,10,NA,NA,10,1.43,NA,NA,10,10,10,10,0.337789151,specific,BA.5 convalescents,D2
GC0396,0.0309,0.0301,0.00821,NA,10,NA,NA,0.009081,0.0581,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E1/E2.1
GC0397,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.484789405,cross,BA.5 convalescents,E2.2
GC0398,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.275373949,specific,BA.5 convalescents,A2
GC0399,0.0101,0.703,0.0566,NA,10,NA,NA,0.489,0.0616,NA,NA,0.0764,0.238,0.488,NA,0.472505706,cross,BA.5 convalescents,F3
GC0400,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.024784365,cross,BA.5 convalescents,E3
GC0401,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,BA.5 convalescents,E3
GC0402,0.00413,0.37,0.348,NA,10,NA,NA,0.0745,3.12,NA,NA,10,10,10,10,0.463392923,cross,BA.5 convalescents,C/D1
GC0403,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.046727721,cross,BA.5 convalescents,F1
GC0405,0.111,0.208,0.262,NA,NA,NA,NA,0.178,0.181,NA,NA,10,10,10,10,0.344948151,cross,BA.5 convalescents,E1/E2.1
GC0407,1.54,0.216,0.201,NA,10,NA,NA,0.126,0.523,NA,NA,10,10,10,10,0,cross,BA.5 convalescents,E2.2
GC0408,0.0445,0.161,0.172,NA,10,NA,NA,0.0913,0.191,NA,NA,10,3.42,1.65,NA,0.148043818,cross,BA.5 convalescents,E1/E2.1
GC0409,0.00158,0.0463,0.0515,NA,10,NA,NA,0.005637,0.00444,NA,NA,0.0246,10,10,10,0.854545455,cross,BA.5 convalescents,A1
GC0410,10,9.64,7.18,NA,NA,NA,NA,9.5,7.56,NA,NA,10,10,10,10,0.231266058,cross,BA.5 convalescents,E2.2
GC0412,10,2.85,0.00482,NA,10,NA,NA,3.34,0.00399,NA,NA,10,10,10,10,0.734978541,cross,BA.5 convalescents,D2
GC0413,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.247213812,specific,BA.5 convalescents,F1
GC0414,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.142272975,specific,BA.5 convalescents,A2
GC0415,10,0.35,0.0142,NA,10,NA,NA,1.4877,0.0243,NA,NA,2.03,10,10,10,0.844040762,specific,BA.5 convalescents,A1
GC0416,10,10,0.0471,NA,10,NA,NA,0.2391,0.0426,NA,NA,0.11,0.154,0.11,NA,0.89469325,specific,BA.5 convalescents,F3
GC0417,1,10,0.0467,NA,10,NA,NA,10,0.0164,NA,NA,10,10,10,10,0.732199308,specific,BA.5 convalescents,D2
GC0418,10,10,10,NA,10,NA,NA,1.8182,1,NA,NA,2.03,0.411,0.187,NA,0.683457796,specific,BA.5 convalescents,F3
GC0419,10,10,0.414,NA,10,NA,NA,10,0.134,NA,NA,10,1.44,0.629,NA,0.533300733,specific,BA.5 convalescents,F3
GC0420,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.037035767,cross,BA.5 convalescents,A2
GC0421,10,10,1.86,NA,10,NA,NA,1.9188,1.1,NA,NA,1.96,1.46,2.77,NA,0.569671627,cross,BA.5 convalescents,F1
GC0422,10,10,10,NA,10,NA,NA,10,0.0735,NA,NA,0.126,10,10,10,0.728328636,specific,BA.5 convalescents,B
GC0423,10,3.53,0.829,NA,10,NA,NA,0.1318,0.029,NA,NA,0.256,0.346,0.703,NA,0.871151714,specific,BA.5 convalescents,A2
GC0424,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.702619609,specific,BA.5 convalescents,F3
GC0425,10,1.25,0.459,NA,10,NA,NA,0.0422,0.0207,NA,NA,0.024,10,10,10,0.871685606,specific,BA.5 convalescents,C/D1
GC0426,10,10,2.15,NA,10,NA,NA,2.292,2.1,NA,NA,2.03,0.284,0.528,NA,0.500583236,specific,BA.5 convalescents,F1
GC0427,10,10,0.554,NA,10,NA,NA,10,0.0637,NA,NA,3.15,0.85,1.46,NA,0.169080196,specific,BA.5 convalescents,F3
GC0428,10,0.0135,0.0235,NA,10,NA,NA,0.03022,0.0114,NA,NA,0.0502,0.0583,0.0523,NA,0.874716553,specific,BA.5 convalescents,F3
GC0429,10,10,0.268,NA,10,NA,NA,0.851,0.135,NA,NA,0.907,0.428,0.55,NA,0.865656413,specific,BA.5 convalescents,F3
GC0430,10,10,2.76,NA,10,NA,NA,0.5143,0.412,NA,NA,0.429,1.02,0.606,NA,0.842600669,specific,BA.5 convalescents,A1
GC0431,10,10,0.0737,NA,10,NA,NA,10,0.0382,NA,NA,2.84,1.02,1.36,NA,0.526105327,specific,BA.5 convalescents,F3
GC0432,10,10,10,NA,10,NA,NA,10,0.0168,NA,NA,0.0418,10,10,10,0.787281043,specific,BA.5 convalescents,B
GC0434,10,2.54,0.144,NA,10,NA,NA,1.6646,0.1,NA,NA,10,1.75,3.09,NA,0.455039617,specific,BA.5 convalescents,D3
GC0435,10,10,0.801,NA,10,NA,NA,0.03695,0.155,NA,NA,0.211,0.515,0.299,NA,0.781446398,specific,BA.5 convalescents,A2
GC0437,10,10,0.0126,NA,10,NA,NA,0.6338,0.0215,NA,NA,0.281,1.03,0.862,NA,0.755706604,specific,BA.5 convalescents,A1
GC0438,10,10,0.41,NA,10,NA,NA,0.08854,0.0222,NA,NA,0.0982,0.081,0.124,NA,0.600539084,specific,BA.5 convalescents,A2
GC0439,10,10,10,NA,10,NA,NA,10,0.474,NA,NA,10,10,10,10,0.718036154,specific,BA.5 convalescents,F3
GC0440,10,0.00262,0.0285,NA,10,NA,NA,0.006254,0.0246,NA,NA,0.125,0.0375,0.164,NA,0.731494174,specific,BA.5 convalescents,D3
GC0441,10,10,10,NA,10,NA,NA,10,1.43,NA,NA,4.37,10,10,10,0.322008767,specific,BA.5 convalescents,C/D1
GC0442,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.634242928,specific,BA.5 convalescents,F1
GC0443,10,10,0.271,NA,10,NA,NA,10,0.579,NA,NA,10,10,10,10,0.189531646,specific,BA.5 convalescents,F3
GC0444,10,0.0264,0.00284,NA,10,NA,NA,0.01137,0.00339,NA,NA,0.00623,0.0135,0.0133,0.02258,0.894999676,specific,BA.5 convalescents,A1
GC0445,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.605671393,specific,BA.5 convalescents,F3
GC0447,10,10,0.0086,NA,10,NA,NA,0.01592,0.00573,NA,NA,0.00892,0.0238,0.0166,NA,0.854384847,specific,BA.5 convalescents,F3
GC0448,10,10,1.32,NA,10,NA,NA,2.3525,0.0927,NA,NA,3.71,2.29,4.98,NA,0.860582277,specific,BA.5 convalescents,F3
GC0449,10,10,10,NA,10,NA,NA,10,1.46,NA,NA,10,10,10,10,0.29303054,specific,BA.5 convalescents,C/D1
GC0450,10,10,1.26,NA,10,NA,NA,10,0.548,NA,NA,10,10,10,10,0.789952587,specific,BA.5 convalescents,F3
GC0451,10,0.195,0.0467,NA,10,NA,NA,0.2597,0.0219,NA,NA,0.313,0.0585,0.0827,NA,0.765146993,specific,BA.5 convalescents,F3
GC0452,10,10,0.0555,NA,10,NA,NA,0.06001,0.00583,NA,NA,0.226,0.204,0.15,NA,0.719259023,specific,BA.5 convalescents,A2
GC0453,10,10,10,NA,10,NA,NA,10,0.00203,NA,NA,2.17,10,10,10,0.140324963,specific,BA.5 convalescents,E2.2
GC0454,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,specific,BA.5 convalescents,C/D1
GC0455,10,10,10,NA,10,NA,NA,10,0.00623,NA,NA,10,10,10,10,0,specific,BA.5 convalescents,E1/E2.1
GC0456,10,10,10,NA,10,NA,NA,10,0.0217,NA,NA,0.0196,10,10,10,0.634200125,specific,BA.5 convalescents,B
GC0457,10,10,10,NA,10,NA,NA,0.9993,0.198,NA,NA,1.88,10,10,10,0.617935644,specific,BA.5 convalescents,A2
GC0458,10,1.6,0.00117,NA,10,NA,NA,0.5071,0.00207,NA,NA,10,10,10,10,0.663004334,specific,BA.5 convalescents,D2
GC0459,10,10,1.87,NA,10,NA,NA,0.05828,0.0307,NA,NA,0.0277,0.0226,0.0198,0.5261,0.907057754,specific,BA.5 convalescents,A2
GC0460,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0.355871084,specific,BA.5 convalescents,F3
GC0461,10,2.01,0.0171,NA,10,NA,NA,1.6371,0.0087,NA,NA,10,10,10,10,0.593205302,specific,BA.5 convalescents,D2
GC0463,10,10,10,NA,10,NA,NA,2.3235,0.911,NA,NA,4.12,0.537,0.246,NA,0.466170294,specific,BA.5 convalescents,F3
GC0464,10,10,0.845,NA,10,NA,NA,1.1795,0.68,NA,NA,1.02,0.778,0.942,NA,0.825702228,specific,BA.5 convalescents,F1
GC0465,10,10,0.0732,NA,10,NA,NA,0.6577,0.072,NA,NA,0.223,1.42,1.98,NA,0.489957964,specific,BA.5 convalescents,F3
GC0466,10,10,10,NA,10,NA,NA,1.6802,0.00369,NA,NA,0.00382,10,10,10,0.679042238,specific,BA.5 convalescents,C/D1
GC0467,10,10,0.42,NA,10,NA,NA,10,0.00178,NA,NA,0.0018,10,10,10,0.844369418,specific,BA.5 convalescents,C/D1
GC0468,10,0.0231,0.0437,NA,10,NA,NA,0.0511,0.0207,NA,NA,0.0232,0.113,0.0826,10,0.798916548,cross,BA.5 convalescents,A2
GC0471,10,0.00106,0.00139,NA,10,NA,NA,0.004036,0.00131,NA,NA,0.000713,10,10,10,0.839789053,specific,long-term BA.1 convalescents,C/D1
GC0472,10,0.0171,0.0147,NA,10,NA,NA,0.02584,2.75,NA,NA,10,2.47,1.07,NA,0.154033215,specific,long-term BA.1 convalescents,D4
GC0474,10,0.0012,0.0345,NA,10,NA,NA,5.2846,2.12,NA,NA,10,10,10,10,0.117542516,specific,long-term BA.1 convalescents,F3
GC0475,10,0.0603,0.0315,NA,10,NA,NA,0.1041,0.0151,NA,NA,0.157,0.0921,0.108,NA,0.665011368,specific,long-term BA.1 convalescents,F3
GC0478,10,0.25,0.17,NA,10,NA,NA,0.1378,0.168,NA,NA,0.347,10,10,10,0.199039576,specific,long-term BA.1 convalescents,D3
GC0479,10,0.000589,0.0142,NA,10,NA,NA,0.001079,0.0051,NA,NA,1.25,0.0019,0.00243,NA,0.641336781,specific,long-term BA.1 convalescents,D3
GC0480,10,0.000602,0.00215,NA,10,NA,NA,0.002231,0.00237,NA,NA,0.164,10,10,10,0.529662276,specific,long-term BA.1 convalescents,D3
GC0483,10,0.00166,0.0035,NA,10,NA,NA,0.005781,0.00374,NA,NA,0.00796,0.0218,0.0367,NA,0.893164987,specific,long-term BA.1 convalescents,D3
GC0484,10,0.000605,0.0517,NA,10,NA,NA,2.9132,1.62,NA,NA,10,10,10,10,0.216499443,specific,long-term BA.1 convalescents,F3
GC0486,10,10,0.0227,NA,10,NA,NA,1.1066,0.837,NA,NA,10,10,10,10,0.088482858,specific,long-term BA.1 convalescents,F3
GC0490,10,0.000552,0.0039,NA,10,NA,NA,0.00119,0.0223,NA,NA,0.013,0.0309,0.00918,0.5822,0.818038707,specific,long-term BA.1 convalescents,B
GC0491,10,0.112,1.97,NA,10,NA,NA,10,1.83,NA,NA,10,10,10,10,0.056363196,specific,long-term BA.1 convalescents,D3
GC0494,0.000672,10,0.00167,NA,10,NA,NA,0.0009444,10,NA,NA,0.000526,0.217,0.23,NA,0.874795752,cross,long-term BA.1 convalescents,B
GC0495,4.71,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.097386425,cross,long-term BA.1 convalescents,E2.2
GC0498,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,0,cross,long-term BA.1 convalescents,F1
GC0499,0.0709,0.177,0.00983,NA,10,NA,NA,0.006511,0.0692,NA,NA,0.901,10,10,10,0.006569405,cross,long-term BA.1 convalescents,E2.2
GC0500,0.00678,0.0114,0.0235,NA,NA,NA,NA,0.02752,0.0126,NA,NA,10,10,10,10,0.013876041,cross,long-term BA.1 convalescents,E1/E2.1
GC0502,10,10,0.000687,NA,10,NA,NA,0.002353,1.91,NA,NA,4.44,10,10,10,0,cross,long-term BA.1 convalescents,B
GC0504,0.0034,0.0947,0.08,NA,10,NA,NA,0.09991,0.0346,NA,NA,10,10,10,10,0,cross,long-term BA.1 convalescents,D2
GC0505,0.000816,0.00114,0.00162,NA,10,NA,NA,0.004445,0.00243,NA,NA,1.66,10,10,10,0.901801938,cross,long-term BA.1 convalescents,D2
GC0506,0.857,10,1.84,NA,NA,NA,NA,1.9222,1.75,NA,NA,10,10,10,10,0.04442555,cross,long-term BA.1 convalescents,F1
GC0507,2.44,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0.025564881,cross,long-term BA.1 convalescents,F1
GC0508,1.91,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,long-term BA.1 convalescents,F1
GC0511,0.834,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,long-term BA.1 convalescents,F1
GC0512,8.63,10,10,NA,NA,NA,NA,10,10,NA,NA,10,10,10,10,0,cross,long-term BA.1 convalescents,F1
GC0516,0.00121,0.000541,0.00169,NA,10,NA,NA,0.0008514,0.00269,NA,NA,0.00668,10,10,10,0.535592349,cross,long-term BA.1 convalescents,A1
